iter	RMSE
0	14.9932473
1	14.61744199
2	14.21590587
3	13.85322894
4	13.48752724
5	13.15728927
6	12.83558352
7	12.53190258
8	12.23509302
9	11.93283012
10	11.63567363
11	11.39224
12	11.16818497
13	10.90984088
14	10.66151049
15	10.43283768
16	10.20937727
17	10.01694216
18	9.812725251
19	9.603552254
20	9.439106132
21	9.273177425
22	9.089853596
23	8.918547819
24	8.771007022
25	8.642075332
26	8.491023672
27	8.36088023
28	8.233222976
29	8.095649699
30	7.973444763
31	7.86583268
32	7.757829444
33	7.640448695
34	7.535500979
35	7.438331209
36	7.338958634
37	7.249805847
38	7.167222191
39	7.087563826
40	7.012306797
41	6.938662138
42	6.865673029
43	6.804285573
44	6.737415968
45	6.678529896
46	6.616759103
47	6.559022117
48	6.496817151
49	6.440695127
50	6.393334205
51	6.341988332
52	6.293658005
53	6.245369654
54	6.200922954
55	6.157623868
56	6.121208381
57	6.082332196
58	6.042611789
59	6.00970369
60	5.978783873
61	5.948943843
62	5.916145114
63	5.885031185
64	5.854595525
65	5.826254575
66	5.796485475
67	5.765130315
68	5.741539019
69	5.716411645
70	5.691289159
71	5.664910325
72	5.637665505
73	5.6149501
74	5.594840122
75	5.577743098
76	5.55899426
77	5.541125099
78	5.524206517
79	5.50409997
80	5.492927645
81	5.475117071
82	5.457972652
83	5.436719229
84	5.429700688
85	5.41889156
86	5.411714564
87	5.399360689
88	5.386150597
89	5.37089511
90	5.357616464
91	5.345738974
92	5.340591704
93	5.327529798
94	5.315642775
95	5.302441139
96	5.293296561
97	5.283121071
98	5.271144664
99	5.260548529
100	5.248410553
101	5.236468232
102	5.227227702
103	5.217420486
104	5.209447615
105	5.200301314
106	5.190586612
107	5.181088349
108	5.173777596
109	5.165111916
110	5.15926493
111	5.151340662
112	5.144536359
113	5.138688013
114	5.133381943
115	5.127765021
116	5.121385236
117	5.113658768
118	5.104917818
119	5.100759295
120	5.095890786
121	5.088433329
122	5.081566082
123	5.074812782
124	5.072436842
125	5.063726954
126	5.0595123
127	5.054927125
128	5.049184463
129	5.047843332
130	5.040905441
131	5.034686388
132	5.029848823
133	5.020805869
134	5.01198205
135	5.009016213
136	5.003215525
137	4.999163024
138	4.995158501
139	4.990705365
140	4.987688047
141	4.98454781
142	4.976671024
143	4.973546305
144	4.968206696
145	4.960717349
146	4.955606058
147	4.95337211
148	4.950323521
149	4.946081157
150	4.939518326
151	4.932366349
152	4.926373666
153	4.924629774
154	4.915265176
155	4.908510833
156	4.903154108
157	4.897022525
158	4.892795039
159	4.890399852
160	4.884533643
161	4.87720355
162	4.871990288
163	4.868200825
164	4.862975724
165	4.857979546
166	4.855437088
167	4.8493802
168	4.845819276
169	4.841489321
170	4.837607745
171	4.831662416
172	4.828912868
173	4.825257365
174	4.817760975
175	4.81624355
176	4.812719418
177	4.810333691
178	4.80560169
179	4.803113792
180	4.799075397
181	4.796354119
182	4.793021559
183	4.789163787
184	4.783696588
185	4.778472735
186	4.775255631
187	4.771553956
188	4.76689804
189	4.76255001
190	4.757706442
191	4.755666669
192	4.752932082
193	4.748977361
194	4.743903769
195	4.739238531
196	4.737488125
197	4.733515202
198	4.727008215
199	4.720470207
200	4.717069616
201	4.712925155
202	4.710488956
203	4.706398973
204	4.700788471
205	4.698431675
206	4.694297503
207	4.690625306
208	4.688174445
209	4.685020073
210	4.682336883
211	4.678575116
212	4.675737333
213	4.672013647
214	4.6707134
215	4.668097341
216	4.665467881
217	4.664209932
218	4.66004445
219	4.655583643
220	4.65128502
221	4.648135707
222	4.645672049
223	4.643160358
224	4.640034223
225	4.636708551
226	4.634315554
227	4.631540723
228	4.627816024
229	4.623499765
230	4.622043027
231	4.618816986
232	4.61616888
233	4.612950601
234	4.607426642
235	4.603830355
236	4.601307618
237	4.596387391
238	4.591184107
239	4.58683899
240	4.585485286
241	4.584259543
242	4.582356062
243	4.577691156
244	4.572262512
245	4.571223115
246	4.5697143
247	4.567932726
248	4.564629919
249	4.562061472
250	4.558166853
251	4.553403571
252	4.551759004
253	4.547116739
254	4.545864125
255	4.539975588
256	4.537372228
257	4.533170956
258	4.529709599
259	4.524925465
260	4.521094704
261	4.517657654
262	4.515162169
263	4.513490542
264	4.51228976
265	4.507041655
266	4.502528486
267	4.498345507
268	4.497149456
269	4.491817894
270	4.488815451
271	4.486744787
272	4.484453244
273	4.478402744
274	4.471467008
275	4.467774216
276	4.462264494
277	4.461305048
278	4.45932711
279	4.45544191
280	4.450637022
281	4.447360343
282	4.446589618
283	4.443269016
284	4.438656515
285	4.432508008
286	4.429365421
287	4.429281002
288	4.424751857
289	4.423858589
290	4.421549289
291	4.42124085
292	4.420964509
293	4.415484697
294	4.412956021
295	4.408202194
296	4.402780344
297	4.401814177
298	4.398610464
299	4.39231183
300	4.392107245
301	4.386942303
302	4.381051376
303	4.377939117
304	4.376807804
305	4.373298462
306	4.371287154
307	4.369621707
308	4.369348372
309	4.365362659
310	4.362524204
311	4.359227529
312	4.354690037
313	4.350596517
314	4.344966034
315	4.344110399
316	4.342852955
317	4.338072388
318	4.332887945
319	4.328113655
320	4.326659818
321	4.32327302
322	4.318929061
323	4.314279859
324	4.310556596
325	4.30658669
326	4.302524279
327	4.296524705
328	4.296280613
329	4.290678326
330	4.288115325
331	4.283158678
332	4.280175571
333	4.274781791
334	4.273410383
335	4.271802878
336	4.268517934
337	4.266856754
338	4.263389667
339	4.260059768
340	4.255639236
341	4.250148407
342	4.248319073
343	4.24515689
344	4.241245239
345	4.236391263
346	4.233899986
347	4.229861329
348	4.227848471
349	4.226710293
350	4.222660352
351	4.221389822
352	4.218700088
353	4.21512684
354	4.214031917
355	4.213225665
356	4.20810873
357	4.204941941
358	4.200723016
359	4.195909482
360	4.19117071
361	4.185079795
362	4.181662024
363	4.178787072
364	4.174850875
365	4.172898179
366	4.167182691
367	4.161643039
368	4.158981006
369	4.157020094
370	4.152440062
371	4.147159729
372	4.143040845
373	4.140873058
374	4.138625798
375	4.13486576
376	4.13338057
377	4.133172804
378	4.129030757
379	4.125671682
380	4.123467567
381	4.12034387
382	4.114963706
383	4.113056905
384	4.108325581
385	4.104597307
386	4.103544922
387	4.100979947
388	4.098047524
389	4.096565655
390	4.092793298
391	4.089918459
392	4.087888032
393	4.087367011
394	4.082150362
395	4.080402271
396	4.079154447
397	4.075224369
398	4.073437643
399	4.071715136
400	4.06770764
401	4.064129675
402	4.061007564
403	4.060806851
404	4.06060945
405	4.060421554
406	4.055990368
407	4.055801153
408	4.053411069
409	4.050324189
410	4.046068555
411	4.04521482
412	4.041885003
413	4.038197158
414	4.033774766
415	4.030608953
416	4.025723327
417	4.021915257
418	4.019711638
419	4.017804462
420	4.014295001
421	4.011300073
422	4.008709202
423	4.005399
424	4.00398077
425	4.000609468
426	3.998991267
427	3.998205763
428	3.994576685
429	3.992378477
430	3.991578963
431	3.988918994
432	3.985755494
433	3.98557676
434	3.981536603
435	3.978433482
436	3.974116395
437	3.971584895
438	3.967641261
439	3.965683809
440	3.962958271
441	3.959415704
442	3.956865928
443	3.952025069
444	3.948969327
445	3.947250643
446	3.943162467
447	3.940221799
448	3.936035118
449	3.931113743
450	3.928108375
451	3.922851788
452	3.92153657
453	3.918093747
454	3.916758861
455	3.914902963
456	3.912218745
457	3.907649688
458	3.907472244
459	3.904425446
