iter	Passed	Remaining
0	169	169038
1	172	86096
2	179	59620
3	180	45048
4	182	36379
5	189	31433
6	202	28760
7	204	25349
8	205	22675
9	221	21879
10	234	21045
11	235	19420
12	238	18091
13	268	18926
14	295	19411
15	307	18932
16	327	18944
17	330	18034
18	334	17252
19	337	16526
20	343	16012
21	348	15496
22	384	16312
23	387	15740
24	389	15195
25	393	14725
26	424	15308
27	444	15442
28	446	14959
29	448	14495
30	449	14058
31	472	14302
32	475	13923
33	478	13591
34	486	13426
35	499	13383
36	501	13046
37	529	13413
38	540	13319
39	542	13022
40	579	13551
41	595	13572
42	613	13651
43	615	13375
44	618	13124
45	622	12915
46	630	12779
47	637	12652
48	639	12408
49	641	12182
50	644	11996
51	647	11796
52	650	11617
53	651	11420
54	699	12023
55	701	11825
56	703	11632
57	707	11485
58	718	11464
59	724	11345
60	725	11171
61	729	11041
62	731	10883
63	734	10743
64	740	10646
65	742	10500
66	744	10370
67	748	10258
68	750	10127
69	753	10013
70	756	9900
71	780	10063
72	795	10095
73	797	9974
74	799	9860
75	807	9819
76	818	9816
77	820	9699
78	835	9735
79	836	9622
80	837	9506
81	840	9412
82	882	9750
83	892	9728
84	894	9626
85	896	9528
86	897	9419
87	904	9378
88	906	9279
89	908	9182
90	917	9164
91	918	9065
92	921	8985
93	931	8976
94	985	9388
95	1004	9457
96	1016	9465
97	1039	9563
98	1040	9472
99	1049	9444
100	1050	9352
101	1052	9266
102	1053	9178
103	1055	9097
104	1057	9012
105	1091	9203
106	1092	9118
107	1093	9035
108	1109	9068
109	1113	9008
110	1127	9030
111	1129	8957
112	1133	8896
113	1144	8896
114	1147	8828
115	1162	8857
116	1177	8886
117	1182	8837
118	1196	8861
119	1205	8837
120	1206	8766
121	1212	8728
122	1223	8724
123	1226	8664
124	1241	8688
125	1257	8720
126	1290	8870
127	1292	8804
128	1310	8847
129	1311	8778
130	1329	8820
131	1364	8970
132	1380	8996
133	1394	9009
134	1408	9026
135	1423	9042
136	1427	8992
137	1442	9012
138	1458	9033
139	1474	9055
140	1488	9067
141	1573	9506
142	1582	9482
143	1584	9419
144	1590	9381
145	1598	9351
146	1602	9299
147	1612	9283
148	1615	9228
149	1633	9254
150	1637	9208
151	1640	9150
152	1642	9090
153	1643	9028
154	1646	8977
155	1649	8922
156	1650	8864
157	1653	8812
158	1654	8753
159	1656	8695
160	1659	8647
161	1662	8601
162	1667	8564
163	1669	8512
164	1672	8462
165	1674	8414
166	1676	8361
167	1682	8334
168	1684	8282
169	1686	8235
170	1691	8198
171	1697	8172
172	1700	8126
173	1711	8124
174	1715	8087
175	1719	8049
176	1720	8000
177	1722	7953
178	1731	7942
179	1734	7901
180	1736	7856
181	1739	7820
182	1757	7847
183	1759	7805
184	1762	7763
185	1767	7734
186	1778	7730
187	1780	7691
188	1782	7650
189	1789	7627
190	1794	7602
191	1796	7560
192	1806	7554
193	1807	7511
194	1815	7494
195	1817	7455
196	1831	7465
197	1856	7519
198	1865	7510
199	1867	7471
200	1874	7450
201	1878	7421
202	1898	7453
203	1901	7419
204	1905	7388
205	1912	7371
206	1915	7338
207	1921	7315
208	1929	7303
209	1931	7264
210	1932	7226
211	1935	7195
212	1940	7168
213	1941	7131
214	1943	7094
215	1944	7057
216	1947	7028
217	1949	6992
218	1954	6971
219	1956	6936
220	1963	6919
221	1966	6891
222	1969	6860
223	1972	6834
224	1984	6836
225	1987	6806
226	1989	6773
227	1991	6742
228	2000	6736
229	2005	6713
230	2010	6692
231	2017	6679
232	2019	6647
233	2028	6639
234	2031	6612
235	2035	6589
236	2042	6575
237	2044	6545
238	2048	6521
239	2051	6495
240	2055	6474
241	2057	6445
242	2061	6421
243	2074	6426
244	2076	6399
245	2089	6404
246	2090	6374
247	2092	6344
248	2094	6317
249	2096	6288
250	2108	6292
251	2110	6263
252	2112	6237
253	2122	6233
254	2124	6206
255	2126	6179
256	2130	6160
257	2148	6177
258	2162	6185
259	2196	6250
260	2198	6225
261	2200	6197
262	2202	6171
263	2203	6144
264	2205	6116
265	2216	6116
266	2217	6089
267	2219	6061
268	2223	6041
269	2224	6015
270	2226	5988
271	2227	5961
272	2229	5935
273	2232	5914
274	2240	5905
275	2241	5879
276	2247	5865
277	2248	5840
278	2250	5815
279	2252	5791
280	2261	5785
281	2262	5761
282	2265	5739
283	2275	5736
284	2278	5716
285	2285	5706
286	2287	5682
287	2290	5662
288	2295	5646
289	2297	5625
290	2299	5602
291	2301	5579
292	2302	5555
293	2310	5548
294	2313	5529
295	2323	5527
296	2328	5511
297	2334	5498
298	2335	5475
299	2344	5470
300	2347	5452
301	2349	5430
302	2358	5424
303	2360	5404
304	2362	5383
305	2371	5378
306	2373	5357
307	2376	5340
308	2387	5338
309	2388	5316
310	2392	5300
311	2394	5279
312	2395	5258
313	2398	5240
314	2408	5236
315	2409	5216
316	2411	5195
317	2420	5190
318	2422	5170
319	2425	5154
320	2435	5152
321	2436	5131
322	2438	5111
323	2439	5090
324	2441	5070
325	2443	5051
326	2446	5036
327	2449	5017
328	2455	5008
329	2456	4988
330	2458	4969
331	2459	4949
332	2460	4928
333	2467	4920
334	2469	4901
335	2472	4886
336	2474	4869
337	2485	4868
338	2488	4852
339	2501	4855
340	2505	4842
341	2512	4833
342	2513	4814
343	2515	4796
344	2516	4777
345	2517	4758
346	2521	4745
347	2525	4731
348	2526	4712
349	2528	4696
350	2530	4678
351	2531	4660
352	2540	4656
353	2541	4638
354	2545	4624
355	2553	4619
356	2564	4618
357	2565	4601
358	2567	4583
359	2579	4585
360	2589	4584
361	2593	4570
362	2608	4576
363	2644	4621
364	2646	4604
365	2658	4605
366	2662	4591
367	2676	4596
368	2749	4701
369	2765	4708
370	2782	4717
371	2797	4722
372	2809	4722
373	2811	4705
374	2826	4711
375	2828	4693
376	2832	4680
377	2834	4664
378	2851	4672
379	2865	4675
380	2867	4658
381	2910	4708
382	2946	4746
383	2959	4748
384	2962	4732
385	2992	4760
386	3028	4797
387	3043	4799
388	3075	4829
389	3083	4822
390	3087	4808
391	3099	4807
392	3117	4814
393	3131	4816
394	3132	4798
395	3143	4794
396	3145	4777
397	3148	4762
398	3164	4766
399	3178	4768
400	3181	4751
401	3182	4734
402	3185	4718
403	3187	4702
404	3201	4702
405	3251	4756
406	3352	4884
407	3365	4883
408	3431	4958
409	3452	4968
410	3468	4970
411	3583	5114
412	3651	5189
413	3653	5172
414	3684	5193
415	3686	5174
416	3736	5223
417	3738	5205
418	3770	5228
419	3788	5231
420	3807	5236
421	3809	5218
422	3812	5199
423	3828	5201
424	3831	5184
425	3833	5165
426	3887	5216
427	3894	5204
428	3897	5187
429	3906	5178
430	3949	5213
431	3950	5194
432	3976	5207
433	3978	5188
434	3981	5171
435	3991	5163
436	3993	5145
437	3996	5128
438	3997	5108
439	3999	5089
440	4000	5070
441	4010	5063
442	4015	5048
443	4114	5152
444	4116	5134
445	4126	5125
446	4144	5126
447	4155	5119
448	4159	5104
449	4169	5095
450	4170	5077
451	4174	5061
452	4180	5047
453	4188	5036
454	4190	5019
455	4193	5003
456	4202	4993
457	4221	4996
458	4224	4979
459	4236	4973
460	4239	4956
461	4243	4942
462	4255	4936
463	4258	4919
464	4261	4902
465	4263	4885
466	4276	4880
467	4278	4863
468	4286	4853
469	4288	4836
470	4290	4819
471	4292	4801
472	4300	4791
473	4301	4773
474	4303	4756
475	4304	4739
476	4311	4727
477	4314	4711
478	4315	4693
479	4317	4676
480	4319	4660
481	4328	4651
482	4331	4636
483	4334	4621
484	4343	4611
485	4345	4595
486	4347	4579
487	4348	4562
488	4357	4553
489	4358	4536
490	4368	4529
491	4370	4512
492	4372	4496
493	4385	4491
494	4388	4477
495	4398	4469
496	4400	4453
497	4403	4438
498	4414	4431
499	4416	4416
500	4427	4409
501	4429	4393
502	4431	4378
503	4432	4362
504	4441	4353
505	4444	4338
506	4470	4347
507	4472	4332
508	4474	4316
509	4483	4307
510	4484	4291
511	4486	4276
512	4489	4261
513	4498	4253
514	4502	4240
515	4512	4232
516	4513	4216
517	4515	4201
518	4517	4186
519	4522	4175
520	4525	4160
521	4527	4145
522	4528	4130
523	4537	4121
524	4539	4107
525	4541	4092
526	4548	4082
527	4550	4068
528	4552	4053
529	4554	4038
530	4563	4030
531	4565	4016
532	4567	4002
533	4568	3987
534	4584	3984
535	4586	3970
536	4595	3962
537	4597	3948
538	4599	3933
539	4607	3925
540	4609	3910
541	4610	3896
542	4613	3883
543	4623	3875
544	4625	3861
545	4633	3852
546	4636	3839
547	4666	3849
548	4668	3835
549	4676	3826
550	4678	3812
551	4681	3799
552	4683	3785
553	4686	3772
554	4714	3779
